model,run,tag,step,value
LSTM,lstm-v2,train/loss,25500,3.0461716651916504
LSTM,lstm-v2,train/loss,25600,2.9339590072631836
LSTM,lstm-v2,train/loss,25700,3.0561771392822266
LSTM,lstm-v2,train/loss,25800,3.1029324531555176
LSTM,lstm-v2,train/loss,25900,3.1539978981018066
LSTM,lstm-v2,train/loss,26000,3.1404788494110107
LSTM,lstm-v2,train/loss,26100,3.0385923385620117
LSTM,lstm-v2,train/loss,26200,3.12420654296875
LSTM,lstm-v2,train/loss,26300,3.0262980461120605
LSTM,lstm-v2,train/loss,26400,3.0620980262756348
LSTM,lstm-v2,train/loss,26500,2.99464750289917
LSTM,lstm-v2,train/loss,26600,3.100271224975586
LSTM,lstm-v2,train/loss,26700,3.1321446895599365
LSTM,lstm-v2,train/loss,26800,2.993459701538086
LSTM,lstm-v2,train/loss,26900,3.219325542449951
LSTM,lstm-v2,train/loss,27000,3.0161595344543457
LSTM,lstm-v2,train/loss,27100,3.1338322162628174
LSTM,lstm-v2,train/loss,27200,3.1540489196777344
LSTM,lstm-v2,train/loss,27300,3.123075485229492
LSTM,lstm-v2,train/loss,27400,3.08500337600708
LSTM,lstm-v2,train/loss,27500,3.0576744079589844
LSTM,lstm-v2,train/loss,27600,2.9649200439453125
LSTM,lstm-v2,train/loss,27700,3.058271884918213
LSTM,lstm-v2,train/loss,27800,3.2103006839752197
LSTM,lstm-v2,train/loss,27900,3.1686253547668457
LSTM,lstm-v2,train/loss,28000,3.070218801498413
LSTM,lstm-v2,train/loss,28100,3.060593366622925
LSTM,lstm-v2,train/loss,28200,3.145967960357666
LSTM,lstm-v2,train/loss,28300,2.9567689895629883
LSTM,lstm-v2,train/loss,28400,3.0395801067352295
LSTM,lstm-v2,train/loss,28500,3.032055377960205
LSTM,lstm-v2,train/loss,28600,3.043416976928711
LSTM,lstm-v2,train/loss,28700,2.9153189659118652
LSTM,lstm-v2,train/loss,28800,3.105485439300537
LSTM,lstm-v2,train/loss,28900,3.0411126613616943
LSTM,lstm-v2,train/loss,29000,3.2404658794403076
LSTM,lstm-v2,train/loss,29100,3.076307535171509
LSTM,lstm-v2,train/loss,29200,2.8524065017700195
LSTM,lstm-v2,train/loss,29300,2.8778953552246094
LSTM,lstm-v2,train/loss,29400,3.108603000640869
LSTM,lstm-v2,train/loss,29500,3.028306484222412
LSTM,lstm-v2,train/loss,29600,3.057950973510742
LSTM,lstm-v2,train/loss,29700,3.0358729362487793
LSTM,lstm-v2,train/loss,29800,3.104276180267334
LSTM,lstm-v2,train/loss,29900,3.1450817584991455
LSTM,lstm-v2,train/loss,30000,3.141630172729492
LSTM,lstm-v2,train/loss,30100,2.9788379669189453
LSTM,lstm-v2,train/loss,30200,2.9861295223236084
LSTM,lstm-v2,train/loss,30300,3.149319648742676
LSTM,lstm-v2,train/loss,30400,2.978851318359375
LSTM,lstm-v2,train/loss,30500,2.9154138565063477
LSTM,lstm-v2,train/loss,30600,2.9424338340759277
LSTM,lstm-v2,train/loss,30700,2.935560941696167
LSTM,lstm-v2,train/loss,30800,2.924530506134033
LSTM,lstm-v2,train/loss,30900,2.942856788635254
LSTM,lstm-v2,train/loss,31000,3.1242072582244873
LSTM,lstm-v2,train/loss,31100,2.9006643295288086
LSTM,lstm-v2,train/loss,31200,3.090740203857422
LSTM,lstm-v2,train/loss,31300,3.0119991302490234
LSTM,lstm-v2,train/loss,31400,3.032440662384033
LSTM,lstm-v2,train/loss,31500,2.9490914344787598
LSTM,lstm-v2,train/loss,31600,2.905006170272827
LSTM,lstm-v2,train/loss,31700,2.781449794769287
LSTM,lstm-v2,train/loss,31800,2.99417781829834
LSTM,lstm-v2,train/loss,31900,2.844196319580078
LSTM,lstm-v2,train/loss,32000,3.0635271072387695
